"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","24","671","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","24","2","2","1","13.893905","0","2"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","24","4","4","1","23.655041","0","5"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","24","4","2","1","16.586790","0","11"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","24","2","2","1","7.283351","0","3"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","24","2","2","1","6.203566","0","3"
"/HairStrands/Materials/HairMeshesDefaultMaterial.HairMeshesDefaultMaterial","24","34","1","1","111.621742","0","619"
"/HairStrands/Materials/HairCardsDefaultMaterial.HairCardsDefaultMaterial","24","44","1","1","127.344360","0","1033"
"/HairStrands/Materials/HairDefaultMaterial.HairDefaultMaterial","24","34","1","1","117.980362","0","624"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","24","2","2","1","5.529202","0","3"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","24","30","1","1","116.367523","0","494"
"/Engine/VREditor/TransformGizmo/Xray.Xray","24","15","1","1","52.535480","0","134"
"/Engine/VREditor/TransformGizmo/Main.Main","24","2","2","1","5.991265","0","3"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","24","2","2","1","5.442050","0","3"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","24","4","1","1","8.049311","0","13"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","24","135","1","1","494.189514","0","4656"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Arrow.M_Arrow","24","4","1","1","12.319773","0","13"
"/Game/HandheldAR/Blueprints/UI/Materials/M_CircularMask.M_CircularMask","24","9","1","1","19.835142","0","41"
"/Game/ProductAssets/Materials/M_Plastic.M_Plastic","24","15","1","1","58.146828","0","93"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","24","75","1","1","295.993713","0","1034"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","24","75","1","1","295.871552","0","901"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","24","75","1","1","284.026459","0","959"
"/Engine/EngineMaterials/M_InvalidLightmapSettings.M_InvalidLightmapSettings","24","30","1","1","105.722931","0","197"
"/Engine/EngineMaterials/EmissiveMeshMaterial.EmissiveMeshMaterial","24","2","2","1","5.795024","0","3"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP.M_VolumeRenderSphereTracePP","24","8","1","1","16.894918","0","37"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial.PhAT_JointLimitMaterial","24","4","1","1","11.667405","0","13"
"/ControlRig/M_Manip.M_Manip","24","4","4","1","9.536152","0","5"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","24","39","2","2","121.381302","0","277"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial.TransformGizmoMaterial","24","2","2","1","5.491570","0","3"
"/Engine/EditorMaterials/WorldPartition/WorldPartitionSpatialHashGridPreviewMaterial.WorldPartitionSpatialHashGridPreviewMaterial","24","8","1","1","17.334921","0","23"
"/HairStrands/Materials/HairDebugMaterial.HairDebugMaterial","24","44","1","1","146.597610","0","354"
"/Engine/EngineSky/VolumetricClouds/m_SimpleVolumetricCloud.m_SimpleVolumetricCloud","24","10","1","1","38.716537","0","41"
"/Engine/EngineMaterials/DefaultPostProcessMaterial.DefaultPostProcessMaterial","24","14","1","1","26.622297","0","73"
"/Engine/EngineMaterials/DefaultDeferredDecalMaterial.DefaultDeferredDecalMaterial","24","77","7","1","303.381958","0","1170"
"/Engine/EngineMaterials/DefaultMaterial.DefaultMaterial","24","240","4","1","1034.780884","0","8251"
"/Engine/EngineMaterials/WorldGridMaterial.WorldGridMaterial","24","762","5","1","2649.700439","0","46234"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","24","22","1","1","66.383659","0","183"
"/AppleARKit/M_SceneDepthOcclusion.M_SceneDepthOcclusion","24","8","1","1","15.463741","0","29"
"/AppleARKit/M_OcclusionOverlay.M_OcclusionOverlay","24","24","3","3","30.845695","0","125"
"/ARUtilities/Materials/M_DepthColoration.M_DepthColoration","24","8","1","1","15.529030","0","31"
"/GoogleARCore/M_SceneDepthOcclusion.M_SceneDepthOcclusion","24","8","1","1","17.381359","0","33"
"/ARUtilities/Materials/M_PassthroughCamera.M_PassthroughCamera","24","16","2","2","29.701912","0","65"
"/ARUtilities/Materials/M_ScreenSpacePassthroughCamera.M_ScreenSpacePassthroughCamera","24","8","5","2","16.699629","0","18"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","24","28","10","6","63.434757","0","91"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","24","8","1","1","14.830413","0","39"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","24","8","1","1","17.230631","0","33"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","24","2","2","1","4.370867","0","3"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Placeable.M_Placeable","24","2","2","1","5.118343","0","2"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Shadow.M_Shadow","24","2","2","1","4.936095","0","3"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_Plain.M_Plane_Plain","24","2","2","1","4.967409","0","3"
"/Game/StarterContent/Props/Materials/M_Chair.M_Chair","24","45","1","1","150.558838","0","402"
"/Game/HandheldAR/Blueprints/UI/Materials/M_ButtonUI.M_ButtonUI","24","9","1","1","17.231209","0","43"
"/Game/HandheldAR/Blueprints/UI/Materials/M_CircularMenuSelection.M_CircularMenuSelection","24","9","1","1","17.188843","0","26"
"/Game/HandheldAR/Blueprints/UI/Materials/M_ButtonRotatingUI.M_ButtonRotatingUI","24","9","1","1","18.961243","0","43"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","24","44","1","1","160.306549","0","336"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","24","104","4","1","429.300995","0","1278"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_01.M_Plane_01","24","2","2","1","7.521178","0","3"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_02.M_Plane_02","24","2","2","1","6.704923","0","2"
"/Game/HandheldAR/Blueprints/Placeable/Materials/M_Plane_Fallback.M_Plane_Fallback","24","2","2","1","6.274803","0","2"
